"stimulation" "img" "nucleus" "gene" "x" "y" "z" "px" "py" "pz" "dist" "ci" "mean" "max" "median" "nMean" "nMinimum" "nMaximum" "nMedian" "nSigma" "nKurtosis" "nSkewness"
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_31.lsm" 2 "cas" 268 399 39 20.0081823703 29.8322431778 9.256999232 0.943899021164 0.466721451223 91.2292993631 149.0 87.375 124.191082803 85.0 161.0 124.974609375 14.770090081 -0.248867177377 -0.300611779813
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_32.lsm" 2 "wap" 110 103 13 10.4257107456 9.74198903445 3.03823647295 1.9998615194 0.821036968669 199.6 222.0 198.544921875 150.666666667 124.0 181.0 144.931640625 16.6933120341 -1.11352380516 0.465316694004
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_32.lsm" 2 "wap" 108 58 17 10.2358286179 5.49496409612 4.01566055931 1.89376345169 0.800641754342 207.4 228.0 207.369140625 143.0 101.0 169.0 152.900390625 21.3708747063 -1.27405233121 -0.511701190682
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_32.lsm" 2 "wap" 141 95 18 13.3870891344 9.04667448147 4.39406910433 2.04724086195 0.835110258886 229.307692308 240.0 230.900390625 152.615384615 126.0 169.0 156.884765625 12.7117954511 -0.877981980591 -0.558316561072
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_32.lsm" 2 "wap" 111 46 23 10.5121365653 4.39240124781 5.53748397976 1.44489910766 0.666656612332 228.076923077 242.0 226.978515625 153.461538462 120.0 167.0 154.892578125 13.985798658 -0.11829365518 -0.902758172572
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_32.lsm" 2 "cas" 82 116 9 7.80018314465 10.9612249351 2.15347393888 0.296681482179 0.159771363979 109.901734104 199.0 102.220703125 112.086705202 3.0 176.0 117.041015625 34.6220204345 0.0152742089843 -0.729673653745
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_32.lsm" 2 "cas" 147 134 22 13.9583077288 12.6852545386 5.33203304453 0.198676105188 0.0750835495493 106.35 190.0 102.220703125 124.107142857 10.0 198.0 133.974609375 36.9227652823 0.597276519244 -0.978693210192
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_32.lsm" 2 "cas" 140 47 24 13.3018088557 4.50008892561 5.72812889052 0.549075142458 0.295415232831 74.4818181818 107.0 72.681640625 152.672727273 42.0 203.0 155.888671875 24.8563244277 3.70131204082 -1.4163895913
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_32.lsm" 2 "cas" 134 78 33 12.7214613545 7.35036455016 8.00899483974 0.391004787367 0.193621877663 101.918518519 178.0 93.669921875 120.081481481 10.0 211.0 127.001953125 46.4022084928 -0.605761667823 -0.510025422683
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_32.lsm" 3 "wap" 232 407 23 21.982919252 38.5856597283 5.49524571429 2.41825886916 0.935411757129 184.210526316 207.0 181.876953125 107.0 76.0 140.0 102.099609375 19.232495649 -1.40581288663 0.103651980761
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_32.lsm" 3 "wap" 218 376 24 20.633783012 35.6245270525 5.75951654676 1.83919255967 0.814562176067 217.1875 233.0 220.115234375 147.6875 125.0 173.0 141.943359375 14.686586851 -1.15061718112 0.46211976353
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_32.lsm" 3 "wap" 180 418 26 17.085995898 39.64371855 6.26203214383 1.8979679097 0.836492596287 141.192307692 182.0 135.794921875 122.038461538 104.0 140.0 122.021484375 10.0218990984 -0.954043892514 -0.0543623716433
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_32.lsm" 3 "wap" 177 439 29 16.7700517863 41.6131545135 6.90407502131 1.25592484573 0.638649648396 159.954545455 194.0 157.365234375 142.090909091 112.0 175.0 141.943359375 17.146175725 -1.00497710154 0.19053704328
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_32.lsm" 3 "cas" 208 451 12 19.7345823338 42.8075788207 2.79468244935 0.348893664018 0.187615707491 102.162790698 182.0 95.224609375 120.325581395 58.0 181.0 120.029296875 24.8197133063 0.0507659071175 -0.189469660263
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_32.lsm" 3 "cas" 159 411 15 15.056976452 39.0225580123 3.57158369099 0.241796188442 0.131509829502 92.2772277228 150.0 88.228515625 103.589108911 18.0 166.0 105.087890625 27.3662187842 -0.234095995693 -0.420899512654
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_32.lsm" 3 "cas" 188 380 32 17.8625275433 36.0840164722 7.68758974359 0.472410267642 0.274172886397 106.363636364 190.0 99.888671875 124.801652893 47.0 174.0 130.986328125 27.8452927903 -0.247308833306 -0.67718808712
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_32.lsm" 3 "cas" 229 367 33 21.7574459948 34.7898038282 7.94242069228 0.217579100222 0.101980132194 101.899224806 186.0 95.224609375 87.496124031 6.0 156.0 91.142578125 36.0518558882 -0.564187500199 -0.405522993288
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_32.lsm" 4 "wap" 416 191 13 39.47219617 18.0953741669 3.04235730476 1.04259168634 0.554506555466 194.12 226.0 189.720703125 155.04 132.0 178.0 152.900390625 12.9598096694 -1.02036310614 0.147587325015
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_32.lsm" 4 "wap" 398 226 27 37.7371338389 21.4337540854 6.3614081502 1.07065005885 0.571728515512 234.35 249.0 232.861328125 156.45 134.0 186.0 148.916015625 15.6859810022 -1.45816885897 0.260497595445
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_32.lsm" 4 "wap" 460 167 28 43.6445531292 15.8616027323 6.79373825924 0.343721672339 0.194094479443 208.304347826 233.0 207.369140625 150.217391304 119.0 180.0 151.904296875 16.5692939492 -1.17582032553 -0.196053557734
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_32.lsm" 4 "wap" 381 197 29 36.121986001 18.6620385848 6.95013977128 1.44950371849 0.71085483615 214.636363636 237.0 214.232421875 166.636363636 134.0 212.0 165.849609375 18.1279722149 -0.0780512200843 0.362334038092
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_32.lsm" 4 "cas" 410 220 12 38.8877791964 20.824169864 2.99411425274 0.0793633887802 0.0267345217234 92.017699115 150.0 86.673828125 77.6725663717 0.0 160.0 85.166015625 39.1059555379 -0.897235029768 -0.175560193166
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_32.lsm" 4 "cas" 358 183 17 33.9501464201 17.3995284709 3.98277279916 0.293487999842 0.15692369119 104.230769231 188.0 95.224609375 128.868131868 2.0 213.0 137.958984375 47.6828168527 -0.0985734575902 -0.685702138949
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_32.lsm" 4 "cas" 371 173 33 35.2015090172 16.4053721132 7.94022115861 0.378503070313 0.209565596074 99.3278688525 180.0 92.892578125 116.303278689 28.0 198.0 120.029296875 42.6529119551 -0.726945174728 -0.283120975453
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_32.lsm" 4 "cas" 423 209 33 40.163540757 19.8279695475 8.01919889503 0.380800741812 0.204749750228 94.4347826087 158.0 89.005859375 142.043478261 45.0 239.0 141.943359375 46.3009536473 -0.651209154474 -0.143646155733
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_33.lsm" 1 "wap" 423 391 19 37.7281814992 34.8971441712 4.44398350029 1.61193560788 0.690042656634 221.347826087 241.0 220.759765625 179.260869565 160.0 195.0 179.6953125 10.09598206 -1.03351121043 -0.228545208246
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_33.lsm" 1 "wap" 396 439 23 35.3351911425 39.2245108605 5.53990201415 0.774131258193 0.386691036402 211.961538462 236.0 210.404296875 165.115384615 147.0 181.0 163.9453125 8.37771769912 -0.538108816835 -0.285218584853
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_33.lsm" 1 "wap" 430 439 35 38.4205717497 39.1860304593 8.45558693361 0.585824215061 0.299532079057 215.681818182 236.0 212.287109375 163.045454545 140.0 191.0 162.9609375 12.8191719245 -0.297464629726 0.481441969712
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_33.lsm" 1 "wap" 445 348 35 39.7132316647 31.1022189746 8.50727496917 0.376428074036 0.190260573807 167.793103448 189.0 167.099609375 148.793103448 83.0 188.0 153.1171875 24.3051718634 0.653857162529 -0.971504705021
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_33.lsm" 1 "cas" 372 437 24 33.227079587 39.0446843142 5.77530103385 0.128677606445 0.0509207250294 93.0754716981 160.0 86.748046875 102.141509434 31.0 159.0 108.8203125 35.8032822862 -1.07014743154 -0.407842568418
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_33.lsm" 1 "cas" 377 404 29 33.6109670535 36.0570148129 6.9364588312 2.42217676442 0.869696517946 86.8490566038 144.0 83.794921875 181.698113208 157.0 206.0 180.6796875 10.014437018 -0.683614342288 0.0811933792937
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_33.lsm" 1 "cas" 449 354 33 40.053075757 31.6393363637 7.92346549192 0.779191643086 0.390382897329 92.8636363636 160.0 86.009765625 176.666666667 146.0 210.0 175.7578125 14.8394289445 -0.479095326967 0.382042090836
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_33.lsm" 1 "cas" 395 451 33 35.2457439042 40.3001631103 7.91328290469 0.691185879891 0.347499392888 83.6708860759 132.0 77.888671875 160.582278481 138.0 186.0 161.9765625 10.6224334396 -0.64765426997 0.0127800506295
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_33.lsm" 2 "wap" 76 212 19 6.74076983308 18.8797577977 4.56 1.73369778292 0.728346758655 179.25 190.0 173.689453125 202.0 190.0 213.0 200.3671875 9.6263527188 -1.96723125097 -0.105936713774
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_33.lsm" 2 "wap" 72 222 24 6.40543404832 19.8170993251 5.76 3.09744464295 0.95388343103 174.5 188.0 168.041015625 194.0 182.0 201.0 196.4296875 8.2865352631 -1.7681096239 -0.593136743842
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_33.lsm" 2 "wap" 47 205 26 4.21757611785 18.2545309247 6.18087882823 1.66886966222 0.70867096554 187.75 193.0 185.927734375 186.25 171.0 202.0 185.6015625 12.6589889012 -1.87441543294 0.0444117214012
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_33.lsm" 2 "wap" 106 240 33 9.43986850713 21.444602742 7.9787107438 2.64896467903 0.906077113646 151.25 162.0 148.271484375 170.25 163.0 178.0 166.8984375 6.60176744011 -2.13937164798 0.0615818053056
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_33.lsm" 2 "cas" 99 171 27 8.80430254452 15.2603373886 6.45482535035 0.254830707693 0.123873057213 88.537037037 150.0 83.056640625 129.972222222 41.0 196.0 136.3828125 36.1881010891 -0.804848694203 -0.413671011139
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_33.lsm" 2 "cas" 136 196 32 12.1477677765 17.5387285247 7.5959458972 0.280589517883 0.137051433497 100.818181818 177.0 94.130859375 135.727272727 56.0 186.0 144.2578125 34.3387649174 -0.683727831696 -0.613677929774
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_33.lsm" 2 "cas" 72 272 31 6.43922724134 24.3178216977 7.51677157993 0.252996430578 0.123812833675 89.1388888889 145.0 86.009765625 135.604166667 54.0 187.0 142.2890625 30.9703713023 -0.364260799393 -0.66349819333
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_33.lsm" 2 "cas" 103 254 42 9.1946822375 22.7107220735 10.1642591335 0.463528939481 0.242938901997 85.6162790698 132.0 83.794921875 139.76744186 81.0 183.0 139.3359375 24.6369757591 -0.64388971719 -0.409100877463
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_33.lsm" 3 "wap" 260 340 20 23.1938090675 30.3792259162 4.75936794582 1.69579346461 0.720387098553 221.5 231.0 217.935546875 170.833333333 156.0 194.0 168.8671875 12.5445871461 -0.731802604098 0.763592275638
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_33.lsm" 3 "wap" 250 307 24 22.3501692782 27.4036663568 5.87065535852 2.01644432362 0.798298163161 99.7692307692 114.0 95.552734375 172.769230769 145.0 203.0 176.7421875 16.4931998419 -1.03252393174 -0.0558407141078
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_33.lsm" 3 "wap" 238 317 33 21.2219547811 28.2736461575 7.80196428571 1.92459785806 0.776327681356 168.0 174.0 167.099609375 181.75 158.0 200.0 181.6640625 13.2530319981 -1.09163352124 -0.310472817236
